2025-07-14 11:05:35 | ERROR | __main__ | 登录失败: 用户取消输入验证码
2025-07-14 14:57:27 | ERROR | src.tasks.task_manager | 状态查询异常: Expecting value: line 1 column 1 (char 0)
2025-07-14 14:57:27 | ERROR | src.tasks.status_checker | 检查任务状态失败: 2858527308134771
2025-07-14 14:57:44 | ERROR | src.tasks.task_manager | 状态查询异常: Expecting value: line 1 column 1 (char 0)
2025-07-14 14:57:44 | ERROR | src.tasks.status_checker | 检查任务状态失败: 2858528533164202
2025-07-14 14:58:05 | ERROR | src.tasks.task_manager | 状态查询异常: Expecting value: line 1 column 1 (char 0)
2025-07-14 14:58:05 | ERROR | src.tasks.status_checker | 检查任务状态失败: 2861065174874013
2025-07-14 14:58:28 | ERROR | src.tasks.task_manager | 状态查询异常: Expecting value: line 1 column 1 (char 0)
2025-07-14 14:58:28 | ERROR | src.tasks.status_checker | 检查任务状态失败: 2861290478188994
2025-07-14 14:58:44 | ERROR | src.tasks.task_manager | 状态查询异常: Expecting value: line 1 column 1 (char 0)
2025-07-14 14:58:44 | ERROR | src.tasks.status_checker | 检查任务状态失败: 2861290690282678
2025-07-14 14:59:04 | ERROR | src.tasks.task_manager | 状态查询异常: Expecting value: line 1 column 1 (char 0)
2025-07-14 14:59:04 | ERROR | src.tasks.status_checker | 检查任务状态失败: 2861290894103015
2025-07-14 14:59:21 | ERROR | src.tasks.task_manager | 状态查询异常: Expecting value: line 1 column 1 (char 0)
2025-07-14 14:59:21 | ERROR | src.tasks.status_checker | 检查任务状态失败: 2861291108040871
2025-07-14 14:59:36 | ERROR | src.tasks.task_manager | 状态查询异常: Expecting value: line 1 column 1 (char 0)
2025-07-14 14:59:36 | ERROR | src.tasks.status_checker | 检查任务状态失败: 2861291346803874
2025-07-14 14:59:41 | ERROR | src.api.request_handler | 请求失败: HTTPSConnectionPool(host='service.vidu.cnhttps', port=443): Max retries exceeded with url: /files.vidu.cn/infer/tasks/25/0714/06/2861291346803874/creation-02/video.mp4?response-content-disposition=attachment;filename=vidu-video-2861291369453352.mp4&Expires=1752562768&Signature=DpXf1YvvBk5dWZs4NxKoco5EU24qjyAkveNON9ccSpAe9i5x3ZZtxo61KDWqTwM-B-KsWq8IEu6-Vp9esLI4eBfg~LaVNRkRClVJOu6JyF8Gik0GvbZoNKWtTvdEnZj1Nu~74ktMjl6eT1g6KyEjvJ3OuI4RGrITkuTct4NdydfCg4OMtdk~LcyUnl3P8GX2qSVU3uyN5XhWJ7m25QXr8qoXU3eEzGRaRgjvj-fHJ8puLD3fsqW4rgtzescN3NzUMTb6DWc9k3lzpLDU~cGmD0mPM73v3Det081WC-AENVZMjomCpIepeS9a7dR5trulOr4Xt-hLh6i6VBSIMD3n-Q__&Key-Pair-Id=K3DNVHKWMZJUTO (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2025-07-14 14:59:41 | ERROR | src.utils.file_manager | 视频下载异常: HTTPSConnectionPool(host='service.vidu.cnhttps', port=443): Max retries exceeded with url: /files.vidu.cn/infer/tasks/25/0714/06/2861291346803874/creation-02/video.mp4?response-content-disposition=attachment;filename=vidu-video-2861291369453352.mp4&Expires=1752562768&Signature=DpXf1YvvBk5dWZs4NxKoco5EU24qjyAkveNON9ccSpAe9i5x3ZZtxo61KDWqTwM-B-KsWq8IEu6-Vp9esLI4eBfg~LaVNRkRClVJOu6JyF8Gik0GvbZoNKWtTvdEnZj1Nu~74ktMjl6eT1g6KyEjvJ3OuI4RGrITkuTct4NdydfCg4OMtdk~LcyUnl3P8GX2qSVU3uyN5XhWJ7m25QXr8qoXU3eEzGRaRgjvj-fHJ8puLD3fsqW4rgtzescN3NzUMTb6DWc9k3lzpLDU~cGmD0mPM73v3Det081WC-AENVZMjomCpIepeS9a7dR5trulOr4Xt-hLh6i6VBSIMD3n-Q__&Key-Pair-Id=K3DNVHKWMZJUTO (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2025-07-14 14:59:41 | ERROR | src.tasks.task_manager | 任务 2861291346803874 视频下载失败: 下载异常: HTTPSConnectionPool(host='service.vidu.cnhttps', port=443): Max retries exceeded with url: /files.vidu.cn/infer/tasks/25/0714/06/2861291346803874/creation-02/video.mp4?response-content-disposition=attachment;filename=vidu-video-2861291369453352.mp4&Expires=1752562768&Signature=DpXf1YvvBk5dWZs4NxKoco5EU24qjyAkveNON9ccSpAe9i5x3ZZtxo61KDWqTwM-B-KsWq8IEu6-Vp9esLI4eBfg~LaVNRkRClVJOu6JyF8Gik0GvbZoNKWtTvdEnZj1Nu~74ktMjl6eT1g6KyEjvJ3OuI4RGrITkuTct4NdydfCg4OMtdk~LcyUnl3P8GX2qSVU3uyN5XhWJ7m25QXr8qoXU3eEzGRaRgjvj-fHJ8puLD3fsqW4rgtzescN3NzUMTb6DWc9k3lzpLDU~cGmD0mPM73v3Det081WC-AENVZMjomCpIepeS9a7dR5trulOr4Xt-hLh6i6VBSIMD3n-Q__&Key-Pair-Id=K3DNVHKWMZJUTO (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2025-07-14 14:59:54 | ERROR | src.api.request_handler | 请求失败: HTTPSConnectionPool(host='service.vidu.cnhttps', port=443): Max retries exceeded with url: /files.vidu.cn/infer/tasks/25/0714/06/2861290478188994/creation-02/video.mp4?response-content-disposition=attachment;filename=vidu-video-2861290496356802.mp4&Expires=1752562768&Signature=nuHPT8LeQp8-15L3SkICPzmc5u9ZSz6Kccohj4fBdENz4-wDu2Z554hvIXzGqlHf1cg-qxljUgl8Yu95vI8t381~cPKsMymm6q38Jj6UDYHPr19B67L3-JTlBs2rbfuPXxv0Hj8Zlg3yyjhIDOpKOHTO3Su8C8CuH2m24NMc7dnErHTP3vg03vQKVBCd5yc4IwRFziRXGPpFbH6B71GhXrv0rRMNII~idnE1864FQ6iVjadk~0VdG78Rk18m7zhSKy7Dy44Xp8iV7xfJWb8V7WH6Gndl5ro8L0x9yT8kUtwkWvd1rwdJTnKndyBRebSexFE0gaXh3ZkOqVLQsDeD4w__&Key-Pair-Id=K3DNVHKWMZJUTO (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2025-07-14 14:59:54 | ERROR | src.utils.file_manager | 视频下载异常: HTTPSConnectionPool(host='service.vidu.cnhttps', port=443): Max retries exceeded with url: /files.vidu.cn/infer/tasks/25/0714/06/2861290478188994/creation-02/video.mp4?response-content-disposition=attachment;filename=vidu-video-2861290496356802.mp4&Expires=1752562768&Signature=nuHPT8LeQp8-15L3SkICPzmc5u9ZSz6Kccohj4fBdENz4-wDu2Z554hvIXzGqlHf1cg-qxljUgl8Yu95vI8t381~cPKsMymm6q38Jj6UDYHPr19B67L3-JTlBs2rbfuPXxv0Hj8Zlg3yyjhIDOpKOHTO3Su8C8CuH2m24NMc7dnErHTP3vg03vQKVBCd5yc4IwRFziRXGPpFbH6B71GhXrv0rRMNII~idnE1864FQ6iVjadk~0VdG78Rk18m7zhSKy7Dy44Xp8iV7xfJWb8V7WH6Gndl5ro8L0x9yT8kUtwkWvd1rwdJTnKndyBRebSexFE0gaXh3ZkOqVLQsDeD4w__&Key-Pair-Id=K3DNVHKWMZJUTO (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2025-07-14 14:59:54 | ERROR | src.tasks.task_manager | 任务 2861290478188994 视频下载失败: 下载异常: HTTPSConnectionPool(host='service.vidu.cnhttps', port=443): Max retries exceeded with url: /files.vidu.cn/infer/tasks/25/0714/06/2861290478188994/creation-02/video.mp4?response-content-disposition=attachment;filename=vidu-video-2861290496356802.mp4&Expires=1752562768&Signature=nuHPT8LeQp8-15L3SkICPzmc5u9ZSz6Kccohj4fBdENz4-wDu2Z554hvIXzGqlHf1cg-qxljUgl8Yu95vI8t381~cPKsMymm6q38Jj6UDYHPr19B67L3-JTlBs2rbfuPXxv0Hj8Zlg3yyjhIDOpKOHTO3Su8C8CuH2m24NMc7dnErHTP3vg03vQKVBCd5yc4IwRFziRXGPpFbH6B71GhXrv0rRMNII~idnE1864FQ6iVjadk~0VdG78Rk18m7zhSKy7Dy44Xp8iV7xfJWb8V7WH6Gndl5ro8L0x9yT8kUtwkWvd1rwdJTnKndyBRebSexFE0gaXh3ZkOqVLQsDeD4w__&Key-Pair-Id=K3DNVHKWMZJUTO (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2025-07-14 15:00:07 | ERROR | src.api.request_handler | 请求失败: HTTPSConnectionPool(host='service.vidu.cnhttps', port=443): Max retries exceeded with url: /files.vidu.cn/infer/tasks/25/0714/06/2861291108040871/creation-02/video.mp4?response-content-disposition=attachment;filename=vidu-video-2861291124766230.mp4&Expires=1752562768&Signature=lsBeITbVpWnTWQYc8vvjgv6kh9ZRzE8ELaEJT9PaaxFhDl4D4-WQ-HTjk2EBtq52TYwRb6z4ajxrljZGlgUZyJTLZ8abqtd2FqMLWpUkrWQQiSPAa0-TfI8s44I~3mYaP-RzE~qyY7Fpa8ZTD~5ENn2usf2orXiAlEPci0lDcEk3K0a7PERCr67CcVveMw11jLcXEXX-g~dMwBT43-8dO3RYduYOFZ3f2OVEYmPpfZ3YyoOeYMcxX3r4RPWukC1Jwywy2GhUu39l2OCP6MPOrl3Gg-GSWFlduEMfIfv9azw2RnDzoDth~xxy-vIMOIJObWpH-nTZ9RN9F1tcVOm-uQ__&Key-Pair-Id=K3DNVHKWMZJUTO (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2025-07-14 15:00:07 | ERROR | src.utils.file_manager | 视频下载异常: HTTPSConnectionPool(host='service.vidu.cnhttps', port=443): Max retries exceeded with url: /files.vidu.cn/infer/tasks/25/0714/06/2861291108040871/creation-02/video.mp4?response-content-disposition=attachment;filename=vidu-video-2861291124766230.mp4&Expires=1752562768&Signature=lsBeITbVpWnTWQYc8vvjgv6kh9ZRzE8ELaEJT9PaaxFhDl4D4-WQ-HTjk2EBtq52TYwRb6z4ajxrljZGlgUZyJTLZ8abqtd2FqMLWpUkrWQQiSPAa0-TfI8s44I~3mYaP-RzE~qyY7Fpa8ZTD~5ENn2usf2orXiAlEPci0lDcEk3K0a7PERCr67CcVveMw11jLcXEXX-g~dMwBT43-8dO3RYduYOFZ3f2OVEYmPpfZ3YyoOeYMcxX3r4RPWukC1Jwywy2GhUu39l2OCP6MPOrl3Gg-GSWFlduEMfIfv9azw2RnDzoDth~xxy-vIMOIJObWpH-nTZ9RN9F1tcVOm-uQ__&Key-Pair-Id=K3DNVHKWMZJUTO (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2025-07-14 15:00:07 | ERROR | src.tasks.task_manager | 任务 2861291108040871 视频下载失败: 下载异常: HTTPSConnectionPool(host='service.vidu.cnhttps', port=443): Max retries exceeded with url: /files.vidu.cn/infer/tasks/25/0714/06/2861291108040871/creation-02/video.mp4?response-content-disposition=attachment;filename=vidu-video-2861291124766230.mp4&Expires=1752562768&Signature=lsBeITbVpWnTWQYc8vvjgv6kh9ZRzE8ELaEJT9PaaxFhDl4D4-WQ-HTjk2EBtq52TYwRb6z4ajxrljZGlgUZyJTLZ8abqtd2FqMLWpUkrWQQiSPAa0-TfI8s44I~3mYaP-RzE~qyY7Fpa8ZTD~5ENn2usf2orXiAlEPci0lDcEk3K0a7PERCr67CcVveMw11jLcXEXX-g~dMwBT43-8dO3RYduYOFZ3f2OVEYmPpfZ3YyoOeYMcxX3r4RPWukC1Jwywy2GhUu39l2OCP6MPOrl3Gg-GSWFlduEMfIfv9azw2RnDzoDth~xxy-vIMOIJObWpH-nTZ9RN9F1tcVOm-uQ__&Key-Pair-Id=K3DNVHKWMZJUTO (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2025-07-14 15:00:20 | ERROR | src.api.request_handler | 请求失败: HTTPSConnectionPool(host='service.vidu.cnhttps', port=443): Max retries exceeded with url: /files.vidu.cn/infer/tasks/25/0714/06/2861291555841989/creation-02/video.mp4?response-content-disposition=attachment;filename=vidu-video-2861292525625824.mp4&Expires=1752562768&Signature=pbuWMofpIwAnIf-xyNZ91cYyjnVqorJg9v2FANE1WFf4YN-xjHV3v5wmKnO9wGcWuF2cl9WY1wYlFT7IOIMwxtWLcdQA1ZJ~w98chm78XVmO6G97xRCoMtbdIVVI0eV8J5T1Xh1ecAKgxrZeqLKqe2rv4YGDQr0cQjDTqjyynXBe1J3XAK1p-EjHKpRSO6WC0ylWRh57jQZzUMNxFku4TzQ0Ws46LSwveR236DxuGe1H6BIAZa-oG5K~WaUFaia8m7bFM1tKBqT6STK4LK1HZ60NpmOTKbIJwzzD29WgK30XpXY3cdP0gqCPvjKroCrRpE1ASXmGfK4BEYizKwCDwQ__&Key-Pair-Id=K3DNVHKWMZJUTO (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
2025-07-14 15:00:20 | ERROR | src.utils.file_manager | 视频下载异常: HTTPSConnectionPool(host='service.vidu.cnhttps', port=443): Max retries exceeded with url: /files.vidu.cn/infer/tasks/25/0714/06/2861291555841989/creation-02/video.mp4?response-content-disposition=attachment;filename=vidu-video-2861292525625824.mp4&Expires=1752562768&Signature=pbuWMofpIwAnIf-xyNZ91cYyjnVqorJg9v2FANE1WFf4YN-xjHV3v5wmKnO9wGcWuF2cl9WY1wYlFT7IOIMwxtWLcdQA1ZJ~w98chm78XVmO6G97xRCoMtbdIVVI0eV8J5T1Xh1ecAKgxrZeqLKqe2rv4YGDQr0cQjDTqjyynXBe1J3XAK1p-EjHKpRSO6WC0ylWRh57jQZzUMNxFku4TzQ0Ws46LSwveR236DxuGe1H6BIAZa-oG5K~WaUFaia8m7bFM1tKBqT6STK4LK1HZ60NpmOTKbIJwzzD29WgK30XpXY3cdP0gqCPvjKroCrRpE1ASXmGfK4BEYizKwCDwQ__&Key-Pair-Id=K3DNVHKWMZJUTO (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))
